games,updates,decisions,return_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,replay_loss,ref_kl,entropy_coef,replay_coef,kl_coef,rollout_s,update_s,games_per_s
8100,60,9618,-0.21636073608240677,-0.014859460062766987,0.047239172964307845,0.5036585730530847,0.005065790178272282,0.04888642723880597,0.6763389865380229,0.7483208225374857,0.0,0.0,0.007876000000000001,0.0,0.0,15.8,21.1,3.67
8235,61,10485,-0.14765622050520158,-0.015331148430141333,0.04613778774192746,0.48967294231308983,0.005214991712600743,0.05351486576773567,0.6927138460964215,0.7637112635355314,0.0,0.0,0.00784,0.0,0.0,16.1,22.5,3.5
8370,62,9689,-0.20287405828754232,-0.015038174399190246,0.048538134161170116,0.511325292257178,0.004807171720408486,0.04784515132969845,0.7714661711513562,0.7168478629814092,0.0,0.0,0.007804,0.0,0.0,15.9,18.6,3.91
8505,63,10291,-0.14141453363106826,-0.011839442198406316,0.04558066110978708,0.48936986266030413,0.005340825354119586,0.051166039332399625,0.7444121301235864,0.766435981935967,0.0,0.0,0.007768000000000001,0.0,0.0,15.9,22.8,3.49
8640,64,10575,-0.1300182651181635,-0.014780739041082283,0.04680328318937622,0.493134238831003,0.0056931963659019435,0.051621496313077476,0.7477698314892626,0.7434938957453278,0.0,0.0,0.007732,0.0,0.0,16.3,21.8,3.54
8775,65,10095,-0.11782584419267779,-0.013540909339987417,0.04964420378662028,0.48266298285292636,0.005375163841067503,0.05064960032782697,0.7453508068999665,0.7306568413733667,0.0,0.0,0.007696,0.0,0.0,15.7,20.8,3.7
8910,66,10190,-0.19755009085116162,-0.01562896370533608,0.05192427471864651,0.5156894332901836,0.005692056279643275,0.05460865631764069,0.7304097486279945,0.6802823115156531,0.0,0.0,0.00766,0.0,0.0,17.2,21.4,3.5
9045,67,10188,-0.11867832581263203,-0.014220484993640226,0.05039960608888239,0.47855294324578723,0.006287557561945758,0.051222613790760874,0.6736607987128479,0.7105010405793724,0.0,0.0,0.007624000000000001,0.0,0.0,15.8,21.5,3.62
9180,68,10334,-0.1925408073737514,-0.017541457701993328,0.04476385954233027,0.5005763461498486,0.00622419959451233,0.058504701747720364,0.7338714594382496,0.7417300747453275,0.0,0.0,0.007588,0.0,0.0,17.0,21.8,3.48
9315,69,10883,-0.17995396951928933,-0.011901724624042627,0.04215388808098721,0.5020551013829204,0.005695321200429198,0.052800450533483693,0.7654041141178296,0.7619039950388089,0.0,0.0,0.007552,0.0,0.0,16.9,29.6,2.9
9450,70,10634,-0.11793889387166423,-0.015049437457093409,0.044840133493789285,0.48894357328450344,0.005750408413404648,0.05324944857384579,0.7252193533862619,0.7666810680081886,0.0,0.0,0.007516,0.0,0.0,17.9,22.6,3.33
9585,71,10415,-0.07085639765852372,-0.015824301459879987,0.047804947270742186,0.48542632547019354,0.006455269614792399,0.0593788531037415,0.7692741460537804,0.7442314430434471,0.0,0.0,0.0074800000000000005,0.0,0.0,16.5,19.8,3.72
