arm,seed,games,updates,decisions,return_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,replay_loss,ref_kl,entropy_coef,replay_coef,kl_coef,rollout_s,update_s,games_per_s
R0,202,4383,23,8271,-0.6562547474869322,-0.022806638481494567,0.028113076413317176,1.2503982303889607,0.011299598888680682,0.14015526107594936,0.5843288707726155,0.8178102959015332,0.0,0.0,0.0066304,0.0,0.0,15.5,13.1,5.98
R0,202,4581,24,8477,-0.6764538933729658,-0.022269704040502745,0.028895873591781904,1.2644491298558593,0.012546869889670109,0.15480541311919505,0.5594739205361732,0.814380476870097,0.0,0.0,0.0064936,0.0,0.0,17.4,12.7,6.57
R0,202,4770,25,8482,-0.5739709725782457,-0.020018449424609817,0.03183722006521974,1.2558268252574227,0.013448117666482667,0.15413741601166328,0.5985762438213174,0.8397417236429511,0.0,0.0,0.0063352,0.0,0.0,16.5,14.0,6.2
R0,202,4941,26,8490,-0.6242956575335091,-0.018222356372353123,0.027458061171328773,1.2715115940529262,0.013966356870570457,0.17271566108616265,0.6124311052581927,0.836673218859832,0.0,0.0,0.006184,0.0,0.0,16.2,13.5,5.77
R0,202,5121,27,8664,-0.6087014711786901,-0.020550228801028487,0.026180379473638448,1.2653290194137428,0.01351102726513033,0.16063333437188435,0.6077120783630933,0.8611697662404031,0.0,0.0,0.0060472,0.0,0.0,16.1,14.3,5.92
R0,202,5292,28,8622,-0.4717616401741345,-0.018632442077142576,0.042490566884328645,1.2285076979643772,0.013403160279486978,0.16088579963235294,0.6782757147498379,0.7998166505409159,0.0,0.0,0.0059032,0.0,0.0,13.2,13.6,6.38
R0,202,5445,29,8217,-0.43834736470307645,-0.02683927454642468,0.03951709295033098,1.2541820076624575,0.016956225614144498,0.18473460477941175,0.8351891200535728,0.8132486149058776,0.0,0.0,0.0057664000000000005,0.0,0.0,12.1,12.0,6.36
R0,202,5589,30,8372,-0.4658915379852181,-0.020823802238147615,0.03967702218115664,1.271527332042712,0.016795657770997608,0.1894588694852941,0.7048420855127209,0.7901260381308217,0.0,0.0,0.005644000000000001,0.0,0.0,12.1,14.4,5.43
R0,202,5733,31,8352,-0.3674303540986486,-0.019550186139475983,0.041008144365460394,1.2146077199221887,0.015467981615346616,0.17703929227941176,0.7364513324408929,0.8134242008432364,0.0,0.0,0.0055288,0.0,0.0,11.2,12.0,6.19
R0,202,5895,32,8299,-0.40950973648480793,-0.02595710072025978,0.039015293187014265,1.1890750938875607,0.015544402010393572,0.1776280751786696,0.7219532744890965,0.8204338892136744,0.0,0.0,0.0054136,0.0,0.0,12.7,11.2,6.78
R0,202,6048,33,8745,-0.45338690161101014,-0.021092817921826126,0.039144411145549896,1.206556632792128,0.014583818113529034,0.16791846629403795,0.7548918920851927,0.8045134135329891,0.0,0.0,0.005284,0.0,0.0,12.6,12.2,6.17
R0,202,6201,34,8303,-0.4692511695892688,-0.023600967529553735,0.035409228770676454,1.1903611810359207,0.01600382252897173,0.1848319194654213,0.7281257423358352,0.8205596213293831,0.0,0.0,0.0051616,0.0,0.0,11.9,11.0,6.67
R0,202,6354,35,8470,-0.5008355905553036,-0.021653439489021823,0.032858951943892115,1.1778100354200014,0.016021357502792825,0.18254052548402455,0.69395183047679,0.8351148600810163,0.0,0.0,0.005039200000000001,0.0,0.0,11.9,12.7,6.23
R0,202,6516,36,8493,-0.4571098886988811,-0.020421654223776634,0.041159949570642694,1.1642345480222371,0.01591813096754584,0.17787626951216534,0.7584958367974965,0.809010114464833,0.0,0.0,0.004916800000000001,0.0,0.0,12.7,11.6,6.68
R0,202,6678,37,8375,-0.3867346627869874,-0.02578886041733716,0.036641911165242805,1.15521475706996,0.015889999635636146,0.18068886109771776,0.6905634414728615,0.8533589728177758,0.0,0.0,0.0047872,0.0,0.0,13.0,11.3,6.68
R0,202,6840,38,8589,-0.3982102412248844,-0.023397216374852065,0.034915986872720996,1.1563755974302392,0.015285828426261727,0.1699469799924063,0.7244694154776511,0.8599359259068399,0.0,0.0,0.0046576000000000005,0.0,0.0,12.8,11.4,6.68
R0,202,6993,39,8619,-0.3833317334271572,-0.024880835460281872,0.04048582125401951,1.1390730889603817,0.017325336813512414,0.18244781262915002,0.729367363748905,0.8029334027299617,0.0,0.0,0.004528,0.0,0.0,12.1,14.1,5.83
R0,202,7146,40,8319,-0.42251566809723534,-0.020951764798766898,0.03952002698222848,1.1673553324683852,0.021211876056705627,0.20941159282364522,0.8473325338464854,0.8254055168998433,0.0,0.0,0.0044056,0.0,0.0,12.2,11.7,6.4
R0,202,7308,41,8326,-0.39551188982367985,-0.022887412748528634,0.04004742178557075,1.1375963196148218,0.01873658481138294,0.2003003422684372,0.8034762727842474,0.8405051423479133,0.0,0.0,0.0042832,0.0,0.0,12.2,15.3,5.88
R0,202,7470,42,8584,-0.45068306801668406,-0.023696892052219663,0.0351461270414356,1.1724885016967403,0.018711323045995428,0.1941864636479592,0.746467746807281,0.8374877146356061,0.0,0.0,0.0041536,0.0,0.0,12.8,13.7,6.12
R0,202,7623,43,8324,-0.40622963013541485,-0.02141454791095431,0.035957209498032675,1.1589841792714395,0.01936763503299419,0.19232797877673796,0.7819324333027646,0.8595553347259357,0.0,0.0,0.004024,0.0,0.0,12.0,12.7,6.19
R0,202,7776,44,8493,-0.45503345506577775,-0.023481658552341286,0.03756253562107251,1.1809458242415554,0.018805783798254625,0.194621157874487,0.7840268264008116,0.8363422908798361,0.0,0.0,0.0039016,0.0,0.0,12.2,13.0,6.06
